smiles,cluster_id2
CO[C@@H]1C[C@@H](F)CN(C(=O)C2CCCCCN2C(=O)C2=CSC(F)=C2)C1,65053
CO[C@@H]1C[C@@H](F)CN(C(=O)C2CCCCN(C(=O)C3=CC=C(Cl)S3)C2)C1,65053
CO[C@@H]1C[C@@H](F)CN(C(=O)C2CCCCN(C(=O)C3=CC=C(F)S3)C2)C1,65053
CO[C@@H]1C[C@@H](F)CN(C(=O)C2CCCCN2C(=O)C2=CC=CC=C2)C1,65053
CO[C@@H]1C[C@@H](F)CN(C(=O)C2CCN(C(=O)C3=CC=CC=C3)CC2)C1,65053
CO[C@@H]1C[C@@H](F)CN(C(=O)C2CSCCN2C(=O)C2=CC=CC=C2Cl)C1,65053
C=C1CCN(C(=O)C=CC2=CC=CN=C2)C(C(=O)N2CC[C@H](F)[C@H](F)C2)C1,65053
C=C1CCN(C(=O)C=CC2=CC=NC=N2)C(C(=O)N2CCC(=C(F)F)CC2)C1,65053
COC1=CC=C(Br)C(F)=C1C(=O)N1CC(N2C=NC3=C2CCCC3)C1,65053
COC1=CC=C(Br)C(F)=C1C(=O)N1CCC2=C(C1)N=CN2C1CCC1,65053
COC1=CC=C(Br)C(F)=C1C(=O)N1CCC2C(CCC(=O)N2C2CC2)C1,65053
COC1=CC=C(Br)C(F)=C1C(=O)N1CCCC(N2CCCC2=O)CC1,65053
COC1=CC=C(Br)C(F)=C1C(=O)N1CCN2N=C(C3CCC3)C=C2C1,65053
COC1=CC=C(Br)C(F)=C1S(=O)(=O)N1CCC(C2=NC3=C(CCCC3)S2)CC1,65053
COC1=CC=C(Br)C(F)=C1S(=O)(=O)N1CCC(C2CCCCC2)CC1,65053
COC1=CC=C(Br)C(F)=C1S(=O)(=O)N1CCC(C2CCOCC2)CC1,65053
COC1=CC=C(Br)C(F)=C1S(=O)(=O)N1CCC(N2CCCCC2)CC1,65053
COC1=CC=C(Br)C(F)=C1S(=O)(=O)N1CCC2(CCCCCC2)C1,65053
COC1=CC=C(Br)C(F)=C1S(=O)(=O)N1CCCC2(CCCC2)CC1,65053
COC1=CC=C(Br)C(F)=C1S(=O)(=O)N1CCCC2(CCCCC2)C1,65053
COC1=CC=C(Br)C(F)=C1S(=O)(=O)N1CCCC2(CCN(C)CC2)CC1,65053
COC1=CC=C(Br)C(F)=C1S(=O)(=O)N1CCCCC12CCCCC2,65053
COC1=CC=C(Br)C(F)=C1S(=O)(=O)N1CCN(C2CCCCC2)CC1,65053
CO[C@@H]1C[C@@H](F)CN(C(=O)[C@@H]2C[C@H]3C[C@H]3N2C(=O)C2=CC=CS2)C1,65053
COC1=CC=C(Br)C(N2CCC(C(=O)N3CCCC(C)C3)CC2)=N1,65053
CO[C@@H]1C[C@@H](F)CN(C(=O)[C@H]2[C@H]3C[C@H]3CN2C(=O)C2=CSC=C2)C1,65053
CO[C@@H]1C[C@@H](F)CN(C(=O)[C@]23C[C@H]2CN(C(=O)C2=CSC=C2)C3)C1,65053
CC1=CC=C(C)C(N2CCN(C(=O)C(F)C3CCS(=O)(=O)CC3)CC2)=C1,65053
COC1=CC=C(Br)C(N2CCCC(C(=O)N3CCC(C)CC3)C2)=N1,65053
CO[C@@H]1C[C@@H](F)CN(C2=C(N3CCC4=C(C3)C(F)=CC(Cl)=C4)C(=O)C2=O)C1,65053
CO[C@@H]1C[C@@H](F)CN(C2=C(N3CCC4=C(C3)SC=C4)C(=O)C2=O)C1,65053
CO[C@@H]1C[C@@H](F)CN(C2=C(N3CCC4=CC=C(F)C=C4C3)C(=O)C2=O)C1,65053
CO[C@@H]1C[C@@H](F)CN(C2=CC=C(C(=O)N3CCC(C)CC3)C=N2)C1,65053
CO[C@@H]1C[C@@H](F)CN(C2=CC=C(S(=O)(=O)N3CC4CC=CC3C4)C(Cl)=C2)C1,65053
CO[C@@H]1C[C@@H](F)CN(C2=CC=C(S(=O)(=O)N3CC4CC=CC3C4)C=C2F)C1,65053
CO[C@@H]1C[C@@H](F)CN(C2=CC=C(S(=O)(=O)N3CCC(C)CC3)C=C2F)C1,65053
CO[C@@H]1C[C@@H](F)CN(C2=CC=C(S(=O)(=O)N3CCC4=C(C=CS4)C3)C(Cl)=C2)C1,65053
CO[C@@H]1C[C@@H](F)CN(C2=CC=C(S(=O)(=O)N3CCCCC3C)C(Br)=C2)C1,65053
CO[C@@H]1C[C@@H](F)CN(C2=CC=C(S(=O)(=O)N3CCC[C@H](C)C3)C=C2F)C1,65053
CO[C@@H]1C[C@@H](F)CN(C2=CC=C(S(=O)(=O)N3C[C@H]4CC[C@@H]3C4)C=C2Br)C1,65053
CC1=CC=C(C)C(N2CCN(S(=O)(=O)CC3CCC(F)CC3)CC2)=C1,65053
CC1=CC=C(C)C(N2N=C(C(=O)N3CCCCC3CF)CCC2=O)=C1,65053
CC1=CC=C(C)C(N2N=C(C(=O)OC3CCSCC3)CCC2=O)=C1,65053
CO[C@@H]1C[C@@H](F)CN(C2=NC=C(C(=O)N3CCCCC3)C=C2Cl)C1,65053
CO[C@@H]1C[C@@H](F)CN(S(=O)(=O)N2CCC(C3=CC=C(Br)C=C3)CC2)C1,65053
CCS(=O)(=O)C1CCN(C2CCCN(C3=CC=C(Cl)C=C3Cl)C2=O)CC1,65053
COC1=CC=C(Br)C(S(=O)(=O)N2CCC(C3CCCCO3)CC2)=C1F,65053
COC1=CC=C(Br)C(S(=O)(=O)N2CCCC(C3=NC4=C(CCC4)S3)C2)=C1F,65053
COC1=CC=C(Br)C(S(=O)(=O)N2CCCC(N3CCCC3)CC2)=C1F,65053
COC1=CC=C(Br)C(S(=O)(=O)N2CCCCC2C2CCCCC2)=C1F,65053
COC1=CC=C(Br)C(S(=O)(=O)N2CCCCCC2C2CCCO2)=C1F,65053
COC1=CC=C(Br)C(S(=O)(=O)N2CCN(C3CCC(C)CC3)CC2)=C1F,65053
COC1=CC=C(Br)C(S(=O)(=O)N2CCN3CCCC3C23CCC3)=C1F,65053
COC1=CC=C(Br)C(S(=O)(=O)N2CC[C@H](C)C[C@@H]2C2CCOCC2)=C1F,65053
COC1=CC=C(Br)C2=C1CCN(C(=O)C(=O)N1CCC(C3CC3)C1)C2,65053
CO[C@@H]1C[C@@H]2CN(C3=C(C(=O)C4CC4)C=C(F)C(Br)=C3)CCN2C1,65053
CC1=CC=C(C)C(N=C2SCCCN2C(=O)C2CCC(S(C)(=O)=O)CC2)=C1,65053
COC1=CC=C(Br)C2=C1CN(C(=O)C(=O)N1CCC(C3CC3)C1)CC2,65053
COC1=CC=C(Br)C2=C1CN(C(=O)C1(C(=O)N3CCCC3)CC1)CC2,65053
CO[C@@H]1C[C@H](C(=O)N2C3C=CCC2CCC3)N(C(=O)C2=CC=C(Cl)S2)C1,65053
COC1=CC=C(Br)C=C1C(=O)C(=O)N1CCC2(CCN(C)CC2)CC1,65053
CO[C@@H]1C[C@H](C(=O)N2CC3(CC3)C2)N(C(=O)C2=CC(F)=CC=C2)C1,65053
CO[C@@H]1C[C@H](C(=O)N2CC3(CC3)C2)N(C(=O)C2=CC=C(Cl)C=C2)C1,65053
CO[C@@H]1C[C@H](C(=O)N2CC3(CC3)C2)N(C(=O)C2=CC=CC=C2Cl)C1,65053
CO[C@@H]1C[C@H](C(=O)N2CC3(CC3)C2)N(C(=O)C2=CC=CC=C2F)C1,65053
CO[C@@H]1C[C@H](C(=O)N2CC3(CSC3)C2)N(C(=O)C2=CC=C(F)C=C2F)C1,65053
CO[C@@H]1C[C@H](C(=O)N2CC3=C(C2)C(C)=CC=C3)N(C(=O)C2CC2)C1,65053
CO[C@@H]1C[C@H](C(=O)N2CC3=CC=CC=C3C2)N(C(=O)C2CC(F)C2)C1,65053
CO[C@@H]1C[C@H](C(=O)N2CC3=CC=CC=C3C2)N(C(=O)C2CC2Cl)C1,65053
COC1=CC=C(Br)C=C1C(=O)N1CCCC(N2CCCCC2=O)C1,65053
CO[C@@H]1C[C@H](C(=O)N2CC3CC3C2)N(C(=O)C2=C(Cl)CCCC2)C1,65053
COC1=CC=C(Br)C=C1C(=O)N1CCN(C2CCN(C)CC2)CC1,65053
CO[C@@H]1C[C@H](C(=O)N2CCC3=C(C2)SC=C3)N(C(=O)C2=C(Cl)CC2)C1,65053
CO[C@@H]1C[C@H](C(=O)N2CCC3=C(C=CS3)C2)N(C(=O)C(C)=C2CC2)C1,65053
CO[C@@H]1C[C@H](C(=O)N2CCC3=CC=CC=C3C2)N(C(=O)C2CC2Cl)C1,65053
COC1=CC=C(Br)C=C1C1(C(=O)N2C3COCC2CC(=O)C3)CC1,65053
CO[C@@H]1C[C@H](C(=O)N2CCC3CC32)N(C(=O)C2=CC(C)=CC=C2)C1,65053
CO[C@@H]1C[C@H](C(=O)N2CCC3CC32)N(C(=O)C2=CC(F)=CC=C2)C1,65053
CO[C@@H]1C[C@H](C(=O)N2CCC3CC32)N(C(=O)C2=CC=CC=C2F)C1,65053
CO[C@@H]1C[C@H](C(=O)N2CCC=C(Cl)C2)N(C(=O)[C@@H]2C[C@@H]3C[C@@H]3C2)C1,65053
COC1=CC=C(Br)C=C1C1CCCN1C(=O)C(=O)N1CC[C@H]2CC[C@H]21,65053
COC1=CC=C(Br)C=C1C1CCCN1C(=O)C(=O)N1C[C@H]2CC[C@H]2C1,65053
CO[C@@H]1C[C@H](C(=O)N2CC[C@@H](F)C2)N(C(=O)C2=CC=C3CCC3=C2)C1,65053
CO[C@@H]1C[C@H](C(=O)N2CC[C@H]3CC[C@H]32)N(C(=O)C2=CC=C(Cl)C=C2)C1,65053
CO[C@@H]1C[C@H](C(=O)N2C[C@H]3CCC=C[C@H]32)N(C(=O)C2=CSC(C)=C2)C1,65053
CO[C@@H]1C[C@H](C(=O)N2C[C@H]3CCC=C[C@H]32)N(C(=O)C2=CSC=C2C)C1,65053
C=C1CCN(C(=O)[C@@H]2CN(C(=O)C3=CC=C(F)C=C3F)CCO2)CC1,65053
C=C1CCN(C(=O)[C@@H]2COCCN2C(=O)C2=C(F)C(F)=CC=C2)CC1,65053
C=C1CCN(C(=O)[C@@H]2COCCN2C(=O)C2=CC(F)=CC(F)=C2)CC1,65053
C=C1CCN(C(=O)[C@@H]2C[C@@H]3C[C@@H]3N2C(=O)CC2=CC=C(F)N=C2)CC1,65053
C=C1CCN(C(=O)[C@@H]2C[C@@H]3C[C@@H]3N2C(=O)CC2=CC=CN=C2F)CC1,65053
C=C1CCN(C(=O)[C@@H]2C[C@@H]3C[C@@H]3N2C(=O)CC2=NC=CC=C2F)CC1,65053
C=C1CCN(C(=O)[C@@H]2[C@H]3CCN(C(=O)C4=C(F)C=NC=C4F)C[C@H]32)CC1,65053
